"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g124.t1",683.837616543157,-0.243347207346592,0.221134191374588,-1.10045039093198,0.2711359332122,0.503316341029033
"g125.t1",461.140291392252,-0.257263428202699,0.255980776413293,-1.00501073481915,0.31489168083951,0.552427058771383
"g126.t1",42.7958386388936,-0.435748990698521,0.584727835997086,-0.745216772441619,0.456140685004929,0.690511136075852
"g127.t1",0,NA,NA,NA,NA,NA
"g127.t2",0,NA,NA,NA,NA,NA
"g128.t1",4.23881631620641,0.140408801450497,1.51430785671739,0.0927214376044155,0.92612486563117,0.971820814825529
"g129.t1",1.02399754231319,-1.8535643994495,3.78999700241142,-0.48906751067881,0.6247939020263,NA
"g130.t1",0,NA,NA,NA,NA,NA
"g131.t1",0,NA,NA,NA,NA,NA
"g132.t1",0,NA,NA,NA,NA,NA
"g133.t1",1.0597269364758,1.35416523823142,3.78569981566821,0.357705392442057,0.720563797194925,NA
"g134.t1",2.44975382280432,-0.291721566089829,2.01843033514596,-0.144528924783888,0.885082817550933,NA
"g135.t1",0,NA,NA,NA,NA,NA
"g136.t1",3.90386825124445,0.631704583093074,1.68556606476304,0.374772959837608,0.707829325923141,0.863065882931525
"g136.t2",93.446848101081,0.526941663424465,0.435708440087848,1.20939053491418,0.22651284325786,0.449788595357232
"g137.t1",23.8779742955319,-2.26925414443534,0.74235752726855,-3.05682108833044,0.0022369775175888,0.0117449499747221
"g138.t1",37.3527989811228,0.441013809520706,0.578027586005563,0.76296325676827,0.445485309126189,0.680648205352635
"g139.t1",80.0566933269665,-1.07420159005461,0.481764586952253,-2.22972302063595,0.0257658366190161,0.0899673837976248
"g140.t1",234.509974459385,-0.471258235310979,0.275926141537293,-1.70791441755179,0.0876522235801498,0.230750023132341
"g141.t2",0.881713738278724,-0.602735815360218,3.49143638717931,-0.172632621225318,0.862940208821072,NA
"g141.t3",0.337060011296957,-1.8638906464033,4.93602068840455,-0.377609974524996,0.70572035380211,NA
"g141.t1",137.762105957979,0.495246842024006,0.368091049495595,1.34544657552161,0.17848106295747,0.382064074437436
"g142.t1",0,NA,NA,NA,NA,NA
"g142.t3",0,NA,NA,NA,NA,NA
